"Item","Category","Subcategory","Style","Artist","Title","Date","Width","Height","Liking_Mean_All","Valence_Mean_All","Arousal_Mean_All","Complexity_Mean_All","Familarity_Mean_All"
"11122.jpg","Scene","Surrealistic tendencies","Abstract and Avant-garde","Tooker, George","Subway",1950,1920,974,5.25,2.65,5.2,4.85,1.3
"11126.jpg","Scene","Surrealistic tendencies","Abstract and Avant-garde","Fuchs, Ernst","Triumph des Einhorns",1978,920,1200,3.45,2.45,5.8,5.5,1.2
"11127.jpg","Scene","Surrealistic tendencies","Abstract and Avant-garde","Fuchs, Ernst","Der Tanz mit dem Tod",1983,778,1200,3.65,2.433,5.15,5.1,1.25
"50815.jpg","Abstract","Cubistic tendencies","Abstract and Avant-garde","Kupka, František","Untitled",1912,856,1200,3.85,4.85,4.8,2.95,1.4
"50908.jpg","Abstract","Constructivist tendencies","Abstract and Avant-garde","Malewitsch, Kasimir","Black Square, Blue Triangle",1915,1030,1200,4.55,4.55,2.75,1.4,1.6
"50937.jpg","Abstract","Constructivist tendencies","Abstract and Avant-garde","Albers, Josef","Homage to the Square",1962,1210,1200,3.55,3.65,2.55,1.85,1.65
"50940.jpg","Abstract","Constructivist tendencies","Abstract and Avant-garde","Riley, Bridget","Praise I 1",NA,1043,1200,2.1,3,5.5,2.85,1.45
"51003.jpg","Abstract","Realistic tendencies II. (20th century)","Abstract and Avant-garde","O`Keeffe, Georgia","Abstraction Blue",1927,897,1200,4.7,4.7,2.675,2.64,1.217
"51204.jpg","Abstract","Informel tendencies","Abstract and Avant-garde","Götz, Karl Otto","Giverny VII",1988,1570,1200,4.4,4.55,5.45,4.2,1.55
"51208.jpg","Abstract","Informel tendencies","Abstract and Avant-garde","Richter, Gerhard","Abstraktes Bild Courbet",1986,994,1200,3.65,4.45,5.35,5.2,1.5
"51218.jpg","Abstract","Informel tendencies","Abstract and Avant-garde","Mathieu, Georges","L'oiseau ivre",1987,1512,1200,4,4.1,5.55,3.6,1.55
"51219.jpg","Abstract","Informel tendencies","Abstract and Avant-garde","Poliakoff, Serge","Composition rouge et bleue",NA,950,1200,2.9,3.45,2.9,1.35,1.25
"51322.jpg","Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Albers, Josef","Homage to the Square, Decided",1951,1196,1200,2.55,3.45,2.7,1.2,1.4
"51323.jpg","Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Newman, Barnett","Two Edges",1948,894,1200,4.05,4.7,2.5,1.7,1.15
"51326.jpg","Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Olitski, Jules","Lysander I",1970,1600,1200,3.7,5.2,2.75,1.6,1.55
"51328.jpg","Abstract","Abstract expressionistic tendencies","Abstract and Avant-garde","Rothko, Mark","Untitled",1969,957,1200,2.6,3.7,2.2,1.1,1.55
"10124.jpg","Scene","Renaissance and Mannerism","Classical","Cranach the ELder, Lukas","The Martyrdom of Saint Barbara",1510,1070,1200,3.6,2.6,4.65,4.75,1.3
"10130.jpg","Scene","Renaissance and Mannerism","Classical","School of Fontainbleau","Charon Crossing the Styx",1590,1608,1200,4,4.35,4.85,3.85,1.55
"10223.jpg","Scene","Baroque and Rococo","Classical","Ribera de, Jusepe","Dream of Jacob",1639,1586,1200,3.95,4.3,2.7,3.6,1.25
"10224.jpg","Scene","Baroque and Rococo","Classical","Ribera de, Jusepe","Martyrdom of Saint Philip",1639,1204,1200,3.4,2.2,4.6,4.65,1.25
"10226.jpg","Scene","Baroque and Rococo","Classical","Velázquez, Diego","Apollo in the Forge of Vulcan",1630,1540,1200,4.65,4.45,4.25,4.55,1.35
"10229.jpg","Scene","Baroque and Rococo","Classical","Zurbarán de, Francisco","Christ and the Virgin in the House at Nazareth",1635,1611,1200,4.05,3.2,3.15,4.45,1.25
"20107.jpg","Portrait","Renaissance and Mannerism","Classical","Lotto, Lorenzo","Portrait of a Woman",1505,916,1200,2.6,3.4,3.2,3.25,1.35
"20127.jpg","Portrait","Renaissance and Mannerism","Classical","Bronzino, Agnolo","Portrait of an Elderly Lady",1540,934,1200,3.217,3.083,3.2,3.46,1.358
"20203.jpg","Portrait","Baroque and Rococo","Classical","Honthorst van, Gerrit","Smiling Girl, a Courtesan, Holding an Obscene",1625,948,1200,4.05,4.3,4.35,4.35,1.4
"30201.jpg","Landscape","Baroque and Rococo","Classical","Carracci, Annibale","River Landscape",1590,1920,1132,5.45,5.05,2.7,4.55,1.6
"30211.jpg","Landscape","Baroque and Rococo","Classical","Goyen van, Jan","Landscape with Dunes",1630,1765,1200,4.75,4.8,2.8,3.65,1.5
"30215.jpg","Landscape","Baroque and Rococo","Classical","Koninck de, Philips","A Panoramic Landscape with a County Estate",1649,1456,1200,4.6,4.35,2.35,4.1,1.4
"40207.jpg","Still Life","Baroque and Rococo","Classical","Zurbarán de, Francisco","Agnus Dei",1635,1920,1147,3.7,2,4.95,3.1,1.3
"40215.jpg","Still Life","Baroque and Rococo","Classical","Heda, Willem Claesz.","Still Life with Silver Goblets",1637,1488,1200,3.45,3.3,3.3,4.1,1.5
"40224.jpg","Still Life","Baroque and Rococo","Classical","Snyders, Frans","Three Monkeys with Fruit",1640,1820,1200,4.8,4.2,5.1,5.3,1.4
"40229.jpg","Still Life","Baroque and Rococo","Classical","Chardin, Jean Siméon","Dead Hare with Powder Flask and Game-bag",1730,955,1200,2.3,2.3,4.4,3.45,1.45
"10514.jpg","Scene","Impressionistic tendencies","Impressionist and Expressionist","Slevogt, Max","The Dancer Marietta di Rigardo",1904,934,1200,5.35,5,4.6,4.45,1.05
"10601.jpg","Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Boccioni, Umberto","Riot in the Galleria (A Brawl)",1910,989,1200,4.6,4.1,5.45,4.45,1.5
"10609.jpg","Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Seurat, Georges-Pierre","Chorus in a Night Club (Le Chahut)",1890,992,1200,4.55,4.75,4.8,3.75,1.4
"10624.jpg","Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Ensor, James","The Rower",1883,1500,1200,3.45,2.75,2.75,3.6,1.4
"10632.jpg","Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Sérusier, Paul","The Downpour",1893,968,1200,3.8,3.1,2.95,2.85,1.1
"10634.jpg","Scene","Postimpressionistic tendencies","Impressionist and Expressionist","Vallotton, Félix","The Visit",1899,1878,1200,4.75,5.05,3.25,3.8,1.5
